"cluster_id","youtube_video_id","exercise_id","exercise_name","media_review_status","decision","reviewer_name","reviewed_at","evidence"
"yt-023","h7HR4Bpc2_k","faa1019a-2bd5-411b-853a-e8ed2e49e996","Wall ankling (tornozelo na parede)","needs_review","","","",""
"yt-024","hfhEieRoWfo","1829097c-7ad7-40e0-840b-0fc087e79d0f","Remada com Peito no Banco Pronada","needs_review","","","",""
"yt-024","hfhEieRoWfo","199cac35-bfc9-4575-86b9-39b128337fa5","Remada Cavalinho Unilateral Neutra","needs_review","","","",""
"yt-024","hfhEieRoWfo","1d5b69b5-9253-4a9f-b7cb-01703845ed08","Remada T Neutra","needs_review","","","",""
"yt-024","hfhEieRoWfo","247a67e1-3dd4-45a3-9cf2-c423c37cf419","Remada Supinada Unilateral Máquina","needs_review","","","",""
"yt-024","hfhEieRoWfo","ecb7437e-a486-4e23-a816-43f948b5e5c8","Remada Cavalinho Unilateral Pronada","needs_review","","","",""
"yt-024","hfhEieRoWfo","f0705159-aa86-407c-a27e-170374012831","Remada Cavalinho Máquina Neutra","needs_review","","","",""
"yt-025","i_0zLUcE-zk","1f396e9a-d008-4d23-9149-2d9edd8688d5","Wall slides (deslizar na parede)","needs_review","","","",""
"yt-025","i_0zLUcE-zk","95b1b5b6-7465-441a-91d4-dd70d4a38f85","Fisio Ombro: deslizamento na parede (wall slide)","needs_review","","","",""
"yt-026","iGLzCCZr_Xw","3e192862-ed2e-4063-b6f9-13b433844cf8","Agachamento Livre","needs_review","","","",""
"yt-026","iGLzCCZr_Xw","4bf7d5d1-9cd1-473a-9c48-5969aa7edec9","Agachamento Livre ( backsquat )","needs_review","","","",""
"yt-027","jtlT3l7jD1M","6950cec4-2d21-40e1-992c-0e0a11ba5d38","Agachamento Cálice Banco","needs_review","","","",""
"yt-027","jtlT3l7jD1M","7a8976b1-789e-4ea7-b499-8b81ece87d25","Agachamento Cálice","needs_review","","","",""
"yt-028","Jxe92fZtlhI","706142ca-78f8-4591-acc0-7b4018432b14","Mobilidade de quadril 3","needs_review","","","",""
